,categories,hasPerk,id,location.address,location.cc,location.city,location.country,location.crossStreet,location.distance,location.formattedAddress,location.labeledLatLngs,location.lat,location.lng,location.neighborhood,location.postalCode,location.state,name,referralId,venuePage.id
0,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5436fbbb498e5e01fed47068,517 Flinders Lane,AU,Melbourne,Australia,,26,"['517 Flinders Lane', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81953929444152, 'lng': 144.95660720123036}]",-37.81953929444152,144.95660720123036,"Melbourne CBD, Melbourne, VIC",3000,VIC,Altius Coffee,v-1599966889,
1,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5a6e6bd56c08d17bb18e2bea,,AU,Melbourne,Australia,,43,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.816427, 'lng': 144.969009}]",-37.816427,144.969009,,3000,VIC,Good Coffee,v-1599966889,
2,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,4db7ac31f7b15ca52cda9944,180 Flinders St,AU,Melbourne,Australia,,63,"['180 Flinders St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81717, 'lng': 144.968477}]",-37.81717,144.968477,,3000,VIC,Monkii Coffee Machine,v-1599966889,
3,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,57325998498eebf6d482dcb4,Chapter House Lane,AU,Melbourne,Australia,,66,"['Chapter House Lane', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.8164467387104, 'lng': 144.96783243830453}]",-37.8164467387104,144.96783243830453,Melbourne CBD,3000,VIC,Chapter House Coffee,v-1599966889,
4,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,5667bc10498e12f46a1f484f,"Southern Cross Lane, 121 Exhibition St",AU,Melbourne,Australia,,89,"['Southern Cross Lane, 121 Exhibition St', 'Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.81286541465016, 'lng': 144.9701875936426}]",-37.81286541465016,144.9701875936426,,3000,VIC,Axil Coffee,v-1599966891,
5,"[{'id': '4bf58dd8d48988d16d941735', 'name': 'Café', 'pluralName': 'Cafés', 'shortName': 'Café', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/cafe_', 'suffix': '.png'}, 'primary': True}]",False,51c1216e498ef613ebeaad60,,AU,Melbourne,Australia,,38,"['Melbourne VIC 3000', 'Australia']","[{'label': 'display', 'lat': -37.8132818056732, 'lng': 144.97043257893492}]",-37.8132818056732,144.97043257893492,"Melbourne CBD, Melbourne, VIC",3000,VIC,The Coffee Commission,v-1599966891,
6,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,4b159234f964a5200aaf23e3,Collins St,AU,Melbourne,Australia,,97,"['Collins St', 'Melbourne VIC', 'Australia']","[{'label': 'display', 'lat': -37.81435375567323, 'lng': 144.9701782187986}]",-37.81435375567323,144.9701782187986,,,VIC,Map Italian Coffee,v-1599966891,
7,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,55ea546c498e6fb41124b396,201 Spencer St,AU,Docklands,Australia,,83,"['201 Spencer St', 'Docklands VIC 3008', 'Australia']","[{'label': 'display', 'lat': -37.81521498046301, 'lng': 144.95264339595272}]",-37.81521498046301,144.95264339595272,"Melbourne CBD, Melbourne, VIC",3008,VIC,Coffee Rush,v-1599966891,
8,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,55ea546c498e6fb41124b396,201 Spencer St,AU,Docklands,Australia,,83,"['201 Spencer St', 'Docklands VIC 3008', 'Australia']","[{'label': 'display', 'lat': -37.81521498046301, 'lng': 144.95264339595272}]",-37.81521498046301,144.95264339595272,"Melbourne CBD, Melbourne, VIC",3008,VIC,Coffee Rush,v-1599966892,
9,"[{'id': '4bf58dd8d48988d1e0931735', 'name': 'Coffee Shop', 'pluralName': 'Coffee Shops', 'shortName': 'Coffee Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/coffeeshop_', 'suffix': '.png'}, 'primary': True}]",False,53f2b80f498e3cfd4dc8f335,152 Gertrude Street,AU,Melbourne,Australia,,112,"['152 Gertrude Street', 'Melbourne VIC 3065', 'Australia']","[{'label': 'display', 'lat': -37.80902375091789, 'lng': 144.97753061142254}]",-37.80902375091789,144.97753061142254,,3065,VIC,Coffee Supreme,v-1599966892,
