data_format,development_key,status,year_completed,clue_small_area,clue_block,street_address,property_id,property_id_2,property_id_3,property_id_4,property_id_5,floors_above,resi_dwellings,studio_dwe,one_bdrm_dwe,two_bdrm_dwe,three_bdrm_dwe,student_apartments,student_beds,student accommodation units,institutional_accom_beds,hotel_rooms,serviced_apartments,hotels_serviced_apartments,hostel_beds,childcare_places,office_flr,retail_flr,industrial_flr,storage_flr,education_flr,hospital_flr,recreation_flr,publicdispaly_flr,community_flr,car_spaces,bike_spaces,town_planning_application_no,longitude,latitude,Location 1
Pre May 16,X000568,COMPLETED,2012,West Melbourne (Residential),411,1-13 Abbotsford Street WEST MELBOURNE VIC 3003,100001,,,,,3,10,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9432805,-37.80791988,POINT (144.9432805 -37.80791988)
Pre May 16,X000479,COMPLETED,2006,North Melbourne,342,191-201 Abbotsford Street NORTH MELBOURNE VIC 3051,100023,,,,,2,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9450298,-37.80282184,POINT (144.9450298 -37.80282184)
Pre May 16,X000459,COMPLETED,2005,North Melbourne,333,218-224 Abbotsford Street NORTH MELBOURNE VIC 3051,100119,,,,,3,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9459475,-37.80204879,POINT (144.9459475 -37.80204879)
Pre May 16,X000573,COMPLETED,2013,West Melbourne (Residential),414,56-62 Abbotsford Street WEST MELBOURNE VIC 3003,100144,,,,,4,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9447186,-37.80679128,POINT (144.9447186 -37.80679128)
Pre May 16,X000288,COMPLETED,2011,Melbourne (CBD),104,150-154 A'Beckett Street MELBOURNE VIC 3000,100163,,,,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,583,0,0,0,0,0,0,0,144.9589709,-37.80959665,POINT (144.9589709 -37.80959665)
Pre May 16,X000557,COMPLETED,2002,West Melbourne (Residential),401,7-21 Anderson Street WEST MELBOURNE VIC 3003,100435,,,,,5,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9415469,-37.80477682,POINT (144.9415469 -37.80477682000001)
Pre May 16,X000563,COMPLETED,2014,West Melbourne (Residential),409,1-9 Stawell Street WEST MELBOURNE VIC 3003,100441,,,,,3,28,0,17,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,144.9420962,-37.80607242,POINT (144.9420962 -37.80607242)
Pre May 16,X000448,COMPLETED,2015,North Melbourne,314,302-308 Arden Street NORTH MELBOURNE VIC 3051,100509,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1064,0,0,0,0,0,0,24,6,0,144.9377236,-37.79925034,POINT (144.9377236 -37.79925034)
Pre May 16,X000449,COMPLETED,2009,North Melbourne,315,North Melbourne Recreation Reserve 204-206 Arden Street NORTH MELBOURNE VIC 3051,100514,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,768",101,0,0,0,0,"2,494",0,0,0,0,0,144.9414326,-37.79892607,POINT (144.9414326 -37.79892607)
Pre May 16,X000458,COMPLETED,2004,North Melbourne,330,162-168 Arden Street NORTH MELBOURNE VIC 3051,100519,,,,,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9462277,-37.80032041,POINT (144.9462277 -37.80032041)
Pre May 16,X000996,COMPLETED,2013,North Melbourne,"1,012",201 Arden Street NORTH MELBOURNE VIC 3051,100552,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9410467,-37.80029861,POINT (144.9410467 -37.80029861)
Pre May 16,X000997,COMPLETED,2007,North Melbourne,"1,012",229-235 Arden Street NORTH MELBOURNE VIC 3051,100556,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,000",0,0,0,0,0,0,0,0,0,0,0,144.9392856,-37.80037382,POINT (144.9392856 -37.80037382)
Pre May 16,X000955,COMPLETED,2002,Parkville,903,192-198 The Avenue PARKVILLE VIC 3052,100615,,,,,4,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9578135,-37.78295736,POINT (144.9578135 -37.78295736)
Pre May 16,X000395,COMPLETED,2005,Carlton,257,24-30 Barkly Place CARLTON VIC 3053,100732,,,,,6,0,0,0,0,0,83,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9614476,-37.803003,POINT (144.9614476 -37.803003)
Pre May 16,X000394,COMPLETED,2002,Carlton,257,16-18 Barkly Place CARLTON VIC 3053,100734,,,,,5,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.9614195,-37.80320056,POINT (144.9614195 -37.80320056)
